text,slant,nonpartisan,slight-partisan,hyperpartisan
'Wall Of Vets' Forms To Protect Portland Protesters Amid Federal Crackdown,2,0,0,1
Poll: Alabama U.S. Senate Race Tightens -- Shows Three-Way Race for GOP Nod,2,0,0,1
Police inflict painful dog bites to get people to obey - even when they're already obeying,1,0,1,0
David Petraeus: Remove Names of Confederate 'Traitors' from Army Bases,2,0,0,1
Ethics experts see national security concern in Trump&#x27;s debt,1,0,1,0
U.S. vaccine plans take shape but no let-up on restrictions,0,1,0,0
Opinion: Gymnasts Laurie Hernandez and Morgan Hurd using their platforms to speak for others,1,0,1,0
Second Case Of New COVID-19 Variant Suspected In Colorado,2,0,0,1
'We are still trying to get free': Black Americans continue fight for equality on Juneteenth,1,0,1,0
Coronavirus updates: Health-care workers under pressure with surge in U.S. cases; air travel picking up,0,1,0,0
Laid off again? Here’s what you need to know about collecting unemployment benefits,0,1,0,0
Migrant Families Were Confused When U.S. Expelled Children Into Mexico,1,0,1,0
Q&A: Nagasaki marks 75th A-bomb anniversary on Sunday,1,0,1,0
"Nolte: Politico Blames Donald Trump for BLM's Cratering Approval Numbers, Not All the Riots",2,0,0,1
Rand Paul Promises To Resist Biden Lockdown: ‘We Can’t Go On Like This Forever’,2,0,0,1
‘Disgusting Failure’: Sasse Slams DOJ Investigation Into Epstein’s Sweetheart Deal,2,0,0,1
Coronavirus: Why politics means success or failure in South America,1,0,1,0
"U.S. House members ask Trump to probe Navalny poisoning, suggest sanctions",1,0,1,0
Canadian province of Ontario angry over 'unacceptable' U.S. move to block face masks,0,1,0,0
Madison Cawthorn defeats Trump pick for NC's 11th District in Republican runoff election,1,0,1,0
Trump asking about special prosecutor for Hunter Biden,1,0,1,0
Top Glove warns on deliveries after virus outbreak shuts plants,0,1,0,0
Amazon had to pay federal income taxes for the first time since 2016 — here's how much,0,1,0,0
'I haven't heard about testing in weeks': Leaked audio reveals Trump dismissed governors' concerns about lack of coronavirus equipment,2,0,0,1
After lead plaintiff turmoil Kessler Topaz keeps control of Snap class action,0,1,0,0
"France, Germany in standoff with Silicon Valley on contact tracing",1,0,1,0
IMF tells G20 countries to 'keep spending' on COVID-19 crisis,0,1,0,0
Bernie Sanders Declares Victory In Iowa,2,0,0,1
Biden’s Approach To Brazil’s Bolsonaro Could Prove He’s Serious About Climate Change,2,0,0,1
"GOP Plows Forward on Plans to Kill Obamacare, Pandemic Be Damned",2,0,0,1
"Fleeing virus for resort homes, some find welcome mat yanked",1,0,1,0
The COVID-19 Death Undercount Is Scarier Than You Think,2,0,0,1
Donald Trump Takes Coronavirus So Seriously He Just Put Mike Pence in Charge,1,0,1,0
Election expert warns of a 'major red flag' in the Democrats' fight to take the Senate,2,0,0,1
2020 election sees record high turnout with at least 159.8 million votes projected,0,1,0,0
'Dangerous stalemate': Attack on U.S. Embassy in Iraq part of Iran's escalating aggression,1,0,1,0
It's High Time We Made Domestic Terrorism a Crime in the US,2,0,0,1
US Rhodes Scholars chosen virtually for the 1st time,1,0,1,0
Detroit’s Nursing Homes Are The Next Coronavirus Hot Spot,2,0,0,1
"Fearing Biden tax hikes, wealthy Americans rush to change estate plans",0,1,0,0
California cities project 2-year losses of $6.7 billion,0,1,0,0
Worried about another recession? Here's what the stock market is predicting for 2021,1,0,1,0
Racial equality groups grapple with surge in donations,1,0,1,0
"U.S. wants to build coalition to counter China's 'disgraceful' menace, Pompeo says",0,1,0,0
&quot;Our hospitals look like war zones&quot;: Texas hit hard by the coronavirus,1,0,1,0
Judge Napolitano: China Could Be Punished For COVID-19 Spread Through Class Action Lawsuits,2,0,0,1
Pelosi quips that Trump has 'doggy doo on his shoes' in ongoing spat,0,1,0,0
Critics say Trump tax dodging exposes system rotten to the core: 'The American people should b​e pissed off',2,0,0,1
Veterans React To Warnock’s Comments On The Military In Turning Point Video,2,0,0,1
"Covid updates: Trump signs funding to avoid shutdown, Congress vote on stimulus deal expected Monday",0,1,0,0
"Ailing Abe quits as Japan PM as COVID-19 slams economy, key goals unmet",0,1,0,0
"Federal Judges Help Free Over 230 Illegal Aliens in Last Month, Including Rapists, Murderers, Sex Offenders",2,0,0,1
Oklahoma Sooners Have 0 Coronavirus Cases On The Football Team After 128 Tests,2,0,0,1
Rachel Maddow Burns Trump Down After He Tweets Her Clip With Thanks,2,0,0,1
Pelosi seeks bipartisan panel to oversee $2 trillion coronavirus relief,0,1,0,0
"Rockets hit Afghan capital Kabul, at least 8 killed",0,1,0,0
Mark Mobius says investors should look to emerging markets — virus impact will be 'temporary',0,1,0,0
Trump says Defense Production Act will be invoked to make swabs,1,0,1,0
"Wall Street set to rise as U.S. starts to reopen, Boeing gains",0,1,0,0
"Top Dems Tap Gregory Meeks For Foreign Affairs Chair, Dashing Joaquin Castro’s Bid",2,0,0,1
Fact: Black Essential Workers Historically Have Emerged Worse Off from Crises,1,0,1,0
"Fact check: Obama, Bush and Clinton say they'll be vaccinated publicly",1,0,1,0
"Twitter suspends accounts claiming to be Black Trump supporters over spam, manipulation",0,1,0,0
ACLU Has Filed 400 Lawsuits Against Trump Administration,2,0,0,1
THE EDITORIAL BOARD,1,0,1,0
"Missing Army Cpl. Hayden Harris found dead in New Jersey after 'vehicle exchange' with fellow soldier, officials say",1,0,1,0
Top FDA official says he would resign if agency rubber-stamps an unproven Covid-19 vaccine,0,1,0,0
Judge orders Seattle to stop using tear gas during protests,1,0,1,0
Bill Moyers: It’s happening before our very eyes,2,0,0,1
Trump: I’ll ‘Adjourn Both Chambers Of Congress’ To Appoint Government Officials,2,0,0,1
Regeneron plans coronavirus trials by early summer for newly identified antibodies,0,1,0,0
James Woods: Donald Trump 'Loves America More than Any President in My Lifetime',2,0,0,1
Watching The First Debate With Hundreds Of Trump Supporters In Pennsylvania,2,0,0,1
Supreme Court Rejects Gun Rights Group’s Challenge To Bump Stocks Ban,2,0,0,1
Trump: U.S. Ended the 'Evil Reign of Terror' of Qasem Soleimani,2,0,0,1
"White, male and conservative: Trump's damaging legal legacy",1,0,1,0
Nursing Homes Balk at Taking Back Patients From Hospitals,2,0,0,1
"Pandemic upends life on isolated, idyllic Galapagos Islands",1,0,1,0
CDC warns against long plane trips and cruises as coronavirus cases mount,1,0,1,0
"Rep. Jodey Arrington Rips Jerry Nadler, Democratic Party Leadership On Portland Response",2,0,0,1
"Ira Hayes raised the flag on Iwo Jima. 75 years later, he still inspires this Indian community.",1,0,1,0
NIH promises Congress the U.S. won't skip safety steps in coronavirus vaccine approval,0,1,0,0
Rep. Matt Gaetz wore gas mask while House voted on coronavirus response bill,1,0,1,0
"Georgia official announces investigations, defends election",1,0,1,0
When Ayn Rand's Wild 'Top Secret' Atomic Bomb Movie Lost Its Way,2,0,0,1
"US, Taliban truce takes effect, setting stage for peace deal",1,0,1,0
"RPT-With Wuhan virus genetic code in hand, scientists begin work on a vaccine",0,1,0,0
Democrats Must Remove Eric Swalwell Now,2,0,0,1
US budget deficit running 11.8% higher this year,1,0,1,0
Alleged neo-Nazis caught with assault rifle charged ahead of Virginia gun rally,1,0,1,0
Trump’s Approval Among White Catholics Has Slipped,2,0,0,1
Progressives Want Coronavirus Bailout for Illegal Immigration,2,0,0,1
Explainer: Big cuts in oil production from OPEC and others,0,1,0,0
"Trump Campaign Sues Washington Post For ‘False, Defamatory Statements’",2,0,0,1
U.S. government partners with pharmacy chains to increase COVID-19 vaccine access,0,1,0,0
Brent crude surges 10% on hopes of oil output deal,0,1,0,0
"Saudi Arabia detains three senior royals, including king's brother, sources say",0,1,0,0
'We did it!': Crowd erupts with joy as Argentine Senate passes bill to legalize abortion,2,0,0,1
How ‘conservatism’ could kill us all,2,0,0,1
"In FBI probe, Texas AG faces aggressive, ethical prosecutor",1,0,1,0
Feds sue Walmart over role in opioid crisis,1,0,1,0
White evangelical Christians are trying to rewrite their role in Civil Rights history,2,0,0,1
"‘Has Anyone Seen Joe?’: Glenn Greenwald, Others Wonder Why Biden Appears To Be Avoiding The Media",2,0,0,1
Amazon To Give $500 Million In Bonuses To Employees Who Worked During The Coronavirus Pandemic,2,0,0,1
Another 103 sailors from U.S. carrier test positive for coronavirus,0,1,0,0
Pence staff hit by COVID-19 outbreak as Biden says Trump has surrendered to pandemic,0,1,0,0
"Morning News Call - India, June 15",0,1,0,0
USA TODAY's experts say securing a COVID vaccine in record time could be easy. Distributing it won't be.,1,0,1,0
China regulator puts country's fintech giants on notice hinting at more rules,0,1,0,0
China refutes 24 'lies' by U.S. politicians over coronavirus,1,0,1,0
Switzerland's Roche joins race to make coronavirus antibody tests,0,1,0,0
"Graham, Harrison polls show dead heat in fight for SC U.S. Senate seat",1,0,1,0
Why GOP-friendly South Carolina is still a key state for Democratic presidential hopefuls,1,0,1,0
Hate crime against Black couple jolts beach town known for tolerance,1,0,1,0
Facebook to label all rule-breaking posts - even Trump&#x27;s,1,0,1,0
Sewing machines become latest weapon against coronavirus as California volunteers swing into action,0,1,0,0
DHS Document Reveals 11 Secret Service Agents Currently Have Coronavirus,2,0,0,1
Report Casts Doubt On Claims That The US Is Falling Behind China On Funding AI Research,2,0,0,1
"Your COVID-19 questions, answered",0,1,0,0
Democratic push on COVID-19 aid welcomed by some in Georgia,1,0,1,0
Nancy Pelosi Does Not Mention 'President' Once in Address to Nation on Coronavirus,2,0,0,1
"As Israel faces 4th election in 2 years, Netanyahu is in the hot seat again",1,0,1,0
Abolishing The Police Is Becoming A More Popular Idea Among Left-Wingers,2,0,0,1
Two Buffalo Policemen Arrested for Allegedly Shoving Elderly Protester,2,0,0,1
Trump Allies Eye Buyout of One America News Network: WSJ,2,0,0,1
"Federal Trade Commission, New York Attorney General seek lifetime ban for 'Pharma bro' Martin Shkreli for 'illegally monopolizing' drug",0,1,0,0
Trump threatened to fire CDC's chief of respiratory diseases in February: report,0,1,0,0
"'I beat the socialist': Biden reminds voters 'worried about socialism' that he won the party nomination, not Bernie Sanders",1,0,1,0
Appeals Court Allows Pennsylvania Governor To Restore Pandemic Restrictions After Federal Judge Ruled State’s Orders Unconstitutional,2,0,0,1
Trump Touts Falconer’s Benghazi Blood-Sacrifice Conspiracy Theory,2,0,0,1
Ted Cruz Predicts ‘Socialist Abyss’ If Democrats Win Georgia Senate Runoffs,2,0,0,1
Breakingviews - Vaccine jostling calls for U.S. rethink on pay,0,1,0,0
US STOCKS-Wall St set to open higher on lockdown easing optimism,0,1,0,0
Here's why Senate Democrats want to give Social Security beneficiaries an extra $200 per month amid coronavirus scare,0,1,0,0
"Moderna asking US, European regulators to OK its virus shots",1,0,1,0
Change Confederate military base names to honor those who fought for America,1,0,1,0
Billionaire investor Howard Marks says investors are 'not discriminating' between stocks as market sells off,0,1,0,0
Experts Expect A Migrant Surge At The Border. Here’s How President-Elect Joe Biden May Address It,2,0,0,1
"EXPLAINER: Allergic reactions to vaccines rare, short-lived",1,0,1,0
New Mexico Democrat Distances Herself from Joe Biden Over Pledge to End Oil Industry,2,0,0,1
Economist Thomas Piketty: Coronavirus pandemic has exposed the ‘violence of social inequality’,2,0,0,1
Are Trump and the GOP right that the $600 unemployment bonus is discouraging work?,1,0,1,0
"In times of crisis, the National Guard is deployed. Here's what troops are doing amid the coronavirus pandemic.",1,0,1,0
DHS Chief Wolf: We Do Not Have 'Systemic Racism Problem with Law Enforcement',2,0,0,1
Why the stock market surges even as the world falls apart,2,0,0,1
"‘I’m Dying, Slowly’: HIV-Positive Detainee Won Release—But Still Isn’t Free",2,0,0,1
Why American Scientists Take Chinese Money,1,0,1,0
Factbox: Global reaction to WHO coronavirus initiative,0,1,0,0
2020's 1st Atlantic hurricane lashes Texas; floods expected,1,0,1,0
Courts straining to balance public health with public access,1,0,1,0
Former Michigan governor Rick Snyder: I am a Republican vote for Biden,1,0,1,0
U.S. dollar slides as new virus strain concerns ease,0,1,0,0
Venezuelan opposition party seeks U.S. blessing to 'repeat' 2018 election: document,0,1,0,0
"Stocks making the biggest moves in the premarket: Zoom Video, Walmart, Tesla, Ford & more",0,1,0,0
‘Unprecedented’: Missouri Lawyer Says Political Posturing Is To Blame For St. Louis Couple’s Gun Seizure,2,0,0,1
Iran's Rouhani calls for national mobilisation against COVID-19 as cases surge,0,1,0,0
Tampa Teen Arrested for Being ‘Mastermind’ of Huge Twitter Hack Targeting Famous Users,2,0,0,1
"Residents, businesses sue dam operator over ruinous flooding",1,0,1,0
"Some Super Bowl advertisers concerned Trump, Bloomberg ads could steal their thunder",0,1,0,0
Trump administration considers executive order to suspend certain work visas,0,1,0,0
"Canada pulls out of 2020 Games as Japan, IOC consider postponement options",0,1,0,0
Why Senate is right to move forward with Amy Coney Barrett nomination,1,0,1,0
Russia says many coronavirus patients died of other causes. Some disagree,1,0,1,0
Amazon restricts employee travel to China 'until further notice' as coronavirus spreads,0,1,0,0
WHO says threat of pandemic 'has become very real' even as China recoveries rise,0,1,0,0
Rasmussen Poll Shows 2:1 Support for 'Hire American' over 'Business First',2,0,0,1
Here’s What You Missed From The Final Night Of The Democratic Convention,2,0,0,1
"Dr. Anthony Fauci says Trump campaign ad takes him 'out of context,' insists he didn't endorse anyone",1,0,1,0
COLUMN-Wild variation in recession calls underlines volatility shock: Dolan,0,1,0,0
9-Year-Old Autistic Boy Found Dead in Miami Canal After Mother Reported Him Abducted,2,0,0,1
What to watch today: Wall Street set to rise on continued hopes for more coronavirus stimulus,0,1,0,0
Black Lives Matter Demands Boston Spend $15M on Summer Jobs for Illegal Aliens,2,0,0,1
President Trump urges Iran to spare life of popular wrestler,1,0,1,0
U.S. cites Smithfield Foods for failing to protect workers from coronavirus,0,1,0,0
GOP set to release controversial Biden report,0,1,0,0
"Major airline groups push for end to coronavirus quarantines, travel bans",0,1,0,0
Amazon Prime Now and other delivery services hit with delays as online shopping surges amid coronavirus outbreak,0,1,0,0
Trump mulls firing of FBI director Wray for declining to announce Biden probe before election: report,2,0,0,1
JetBlue cheese plates and movie popcorn: This start-up sells food that would otherwise go bad amid Covid-19 shutdowns,0,1,0,0
"Fed Slashes Interest Rates to Near-Zero, Buys Bonds to Buffer Economy in Coronavirus Outbreak",2,0,0,1
‘Reopen’ Protests Started Small. Right-Wing Media Gave Them A Massive Platform.,2,0,0,1
"Don't settle: Woman in arranged marriage reflects on colorism, misogyny in 'Indian Matchmaking'",1,0,1,0
Which Senate seats are likely to flip on Election Day? Here’s what oddsmakers say,1,0,1,0
Ruth Bader Ginsburg and the peril of America’s aging elite,2,0,0,1
Some volunteers quit J&J COVID-19 trial in Spain after AstraZeneca scare: investigator,1,0,1,0
"'The political challenge of her life': Maine Sen. Susan Collins trailing in bid for 5th term, polls find",1,0,1,0
Democrats see surging donations as they seek U.S. Senate majority,1,0,1,0
AP Exclusive: Pandemic shrinking Europe&#x27;s monitor of US vote,1,0,1,0
"'Hunt them down': Twitter adds warning label to Gaetz's tweet, saying it glorifies violence",1,0,1,0
George Floyd protests: Kareem Abdul-Jabbar defends protesters in op-ed,1,0,1,0
UPDATE 2-Estee Lauder warns of weak sales as most stores remain shut under lockdown,0,1,0,0
"Florida teen accused of masterminding Twitter hack that hit Biden, Musk",0,1,0,0
Carter Page Is Suing The People Who Spied On Him For $75 Million,2,0,0,1
Fmr NV AG Laxalt: 'No Question' Trump Would Have Won Nevada 'Convincingly' Without Mail-in Voting,2,0,0,1
Regular Saudi Arabian Man Accidentally Tagged In President Trump’s Tweet Offers To Help America Fight Coronavirus,2,0,0,1
"Trump’s gene comments ‘indistinguishable from Nazi rhetoric’, expert on Holocaust says",1,0,1,0
Pentagon awarding contract to boost N95 mask production capacity by 39 million,0,1,0,0
Israeli operatives killed al Qaeda’s No. 2 leader in Iran in August - New York Times,0,1,0,0
"Washington state bans gatherings, may close schools to fight COVID-19; lockdowns possible",0,1,0,0
Fox Host Stuart Varney Slobbers Over Defense Stock Prices After Soleimani Airstrike,2,0,0,1
Wife Shares Heartbreaking Love Letter Husband Wrote Before Dying Of COVID-19,2,0,0,1
Exclusive: U.S. government officials worry about return of dual citizens if Mexico's pandemic worsens,0,1,0,0
Moderna completes enrollment in large COVID-19 vaccine study,1,0,1,0
White House Mulls Fast-Track of British COVID Vaccine: Report,2,0,0,1
"Senate Republicans propose $1,200 cash payments in coronavirus economic rescue package",1,0,1,0
Global film festival aims to bridge coronavirus distances,0,1,0,0
Trump escalates message to his followers: Use lethal violence to help me crush the left,2,0,0,1
Arizona State professor advocates canceling college football season for more than COVID-19,1,0,1,0
Asia-Pacific leaders push for freer trade after Trump,0,1,0,0
Hit ’em where it hurts – how economic threats are a potent tool for changing people's minds about the Confederate flag,1,0,1,0
Angry California anglers disrupt sport fishing ban meeting,1,0,1,0
Eccentric Thai King’s Official Mistress Has Hundreds of Nudes Allegedly Leaked,2,0,0,1
John Lewis To Lie In State At Capitol,2,0,0,1
"Minnesota, New York Officials Say Evidence Shows Weekend Riots Were Planned, Chicago Demands Fed Investigation Into ‘Organized’ Violence",2,0,0,1
"Attendee Of Warnock Church Camp Says Supervisors Doused Him In Urine, Made Him Sleep Outside",2,0,0,1
"Feds won’t touch COVID-19 vaccines injected into Americans, officials say",1,0,1,0
Hogs? Lincolns? Best and worst potential new names for Washington's NFL franchise,1,0,1,0
"Fact check: Obama implemented several police, prison reforms",1,0,1,0
‘Throwing a hissyfit’: Sen. Rand Paul slammed by critics after attacking Dr. Fauci at Senate hearing,2,0,0,1
"Exclusive: UPS, FedEx warn they cannot carry ballots like U.S. Postal Service",0,1,0,0
Unclassified Docs Show Israel’s Secret Plan to Ship 60K Palestinians to Latin America,2,0,0,1
Global pandemic hits home in the West Virginia mountains,1,0,1,0
Atlanta Mayor Who Joined Protests Tests Positive For Coronavirus,2,0,0,1
Catholic School Alumni Call for ‘Racial Justice’ Curriculum,2,0,0,1
"Stock market live updates: Futures up, Howard Marks buying, another volatile day?",0,1,0,0
How Coronavirus Could Help Fix What’s Wrong With Work In America,2,0,0,1
Lincoln Project makes its own music video to Demi Lovato's song 'Commander in Chief',0,1,0,0
"Michigan governor to reopen factories, sources say, as U.S. jobless ranks grow",0,1,0,0
Colin Kaepernick’s Life Is Being Turned Into A Netflix Series With Ava DuVernay,2,0,0,1
GOP Rep. Louie Gohmert's Daughter Calls Him Out For Ignoring Coronavirus Advice,2,0,0,1
Fact check: Viral posts use altered image to make false claim that Biden is faking injury,1,0,1,0
"U.S. Senate Republicans to unveil coronavirus proposal next week, McConnell says",0,1,0,0
Kentucky man to spend life in prison for shooting two Black shoppers at Kroger store,1,0,1,0
Mexico begins reopening despite coronavirus onslaught fears,1,0,1,0
Tennessee governor delays scheduled execution due to virus,1,0,1,0
U.S. consumer prices post largest drop in five years amid coronavirus disruptions,0,1,0,0
Pelosi weighs bringing House back early to address Postal Service crisis,1,0,1,0
TSA: July air travel down 75% from 2019 but gun confiscation rates triple,0,1,0,0
Scores of retired military leaders publicly denounce Trump,1,0,1,0
ABC Gives Julia Louis-Dreyfus Platform to Promote Get Out the Vote Event for Left-Wing Group Under Investigation in Georgia,2,0,0,1
"French Intel Officials Warned In 2004 Building Wuhan Lab Could Lead To ‘Catastrophic Leak,’ Report Says",2,0,0,1
Gun Test: Springfield Model 2020 Waypoint,2,0,0,1
"Trump blasts proposed restrictions on China trade, wants China to buy U.S. jet engines",0,1,0,0
Republican wins tighten their control of Indiana Legislature,1,0,1,0
The prospect of peace in Afghanistan is real — and Pakistan is the key player,2,0,0,1
"UPDATE 1-WeWork committee pushes back against SoftBank, defends right to represent shareholders",0,1,0,0
"School Closures Keep More Minorities, Women from Finding Jobs",2,0,0,1
Supreme Court rules against 2 teachers at religious schools in discrimination case,1,0,1,0
Florida: 2 dead in the state who tested positive for virus,1,0,1,0
Coronavirus: Southwest Airlines ending drink service on flights during COVID-19 outbreak,1,0,1,0
U.S. Navy Launches Live-Fire Missiles in Philippine Sea,2,0,0,1
U.S. Supreme Court spurns environmental challenge to Trump's border wall,0,1,0,0
Another harrowing week looms for markets as US economy shuts down and virus spreads,0,1,0,0
Coronavirus at Smithfield pork plant: The untold story of America's biggest outbreak,1,0,1,0
"Wisconsin recount would cost Trump campaign about $7.9 million, state officials say",0,1,0,0
'Remain in Mexico' asylum hearings suspended through June 1,1,0,1,0
China reopens but businesses struggle to lure back consumers,1,0,1,0
China doesn't want to become America. Why that's bad news ... for America.,1,0,1,0
"Washington Governor Inslee endorses Biden, citing ‘reasoned approach’ to economics, climate",0,1,0,0
Kushner Biz Won $850 Million In U.S.-Backed Loans At Special Terms: Report,2,0,0,1
"Adm. Brett Giroir: Dr. Fauci ‘Not 100% Right,’ Doesn’t ‘Have The Whole National Interest In Mind’",2,0,0,1
"EXCLUSIVE: White House’s Deregulation Effort Specifically Boosts Black America’s COVID Recovery, Ben Carson Says",2,0,0,1
"House GOP unveils tax cuts, police funds in election agenda",1,0,1,0
Anthem profit beats on IngenioRx strength; backs 2020 earnings forecast,0,1,0,0
Battle over impeachment witnesses escalates,1,0,1,0
"Roche confirms 2020 sales, profit outlook as coronavirus boosts test demand",0,1,0,0
'Like a zombie apocalypse': Residents on edge as coronavirus cases surge in South Korea,0,1,0,0
Thousands protest in Berlin against coronavirus restrictions,1,0,1,0
Twitter gives Trump Jr. a tweet timeout for pandemic misinfo - Breitbart,2,0,0,1
Pearl Jam’s Upcoming Album ‘Gigaton’ Features Song Which Takes Swipe At Trump,2,0,0,1
12 Amazing Photos You Missed This Week,2,0,0,1
