text,sentiment,negative,neutral,positive
"In addition, Roger was a great patriot who never ceased fighting for his beliefs.""",2,0,0,1
"""A brilliant broadcaster, Roger played a huge role in shaping America's media over the last 30 years.",2,0,0,1
"He will be remembered by the many people on both sides of the camera he discovered, nurtured and promoted.""",2,0,0,1
"""At 21st Century Fox we will always be enormously grateful for the great business he built.",2,0,0,1
He founded Fox News in 1996 and built it into the nation's long-running No.,2,0,0,1
"He wasn't perfect, but Roger Ailes was my friend & I loved him.",2,0,0,1
He later worked on Vice President George H.W. Bush’s presidential campaign.,1,0,1,0
"Not sure I would have been President w/o his great talent, loyal help.",2,0,0,1
"“Special Counsel Mueller will have all appropriate resources to conduct a thorough and complete investigation,” Rosenstein said in the DOJ announcement.",2,0,0,1
"That's why the announcement by Deputy Attorney General Rod Rosenstein came as a surprise to so many people — including the White House, which was reportedly given just 30 minutes’ warning before the announcement went public.",0,1,0,0
She said she did know Flynn had shared untrue information because of phone calls intercepted by the Obama administration.,0,1,0,0
WASHINGTON – Former Acting Attorney General Sally Yates testified Monday before a Senate subcommittee about her efforts to warn the Trump administration of misinformation put forth by former National Security Advisor Michael Flynn.,0,1,0,0
Sally Yates speaks — and the strange tale of Michael Flynn begins to unwind a little,0,1,0,0
But one cannot help but wonder if Trump's lawyers might have reminded him that Flynn is shopping for an immunity deal and treating him disrespectfully might just loosen his tongue about things the president might not want him to say.,0,1,0,0
"But his margin for error on Obamacare is razor-thin; Republicans can afford no more than two defections, meaning that some combination of staunch conservatives like Paul, Cruz, and Lee will have to endorse the same bill as Collins, Murkowski, and Heller, who is up for reelection in 2018 in a state Hillary Clinton carried in November.",0,1,0,0
"Winfrey then referenced Recy Taylor, a black woman who was abducted in 1944 in Alabama and raped by six men.",1,0,1,0
"Winfrey concluded, as the audience gave her a standing ovation.",2,0,0,1
'Oprah 2020': Winfrey's longtime boyfriend says star 'would absolutely' run for president,1,0,1,0
"Oprah Winfrey and partner Stedman Graham arrive at the 2015 Vanity Fair Oscar Party in Beverly Hills, California February 22, 2015.",1,0,1,0
"White House senior policy adviser Stephen Miller ripped into former White House chief strategist Steve Bannon and the credibility of the the now-released tell-all book, Fire and Fury: Inside the Trump White House, noting Bannon sounds like an “angry, vindictive person” in the book.",0,1,0,0
"Handel was the top GOP vote-getter at 20 percent, finishing comfortably ahead of technology executive Bob Gray, who received 11 percent of the vote, and former State Senators Judson Hill and Dan Moody, who each received 9 percent of the vote.",2,0,0,1
"Here are the top 10 anti-Trump shifts, with Georgia's 6th at No.",0,1,0,0
"Trump's ability to bring new white, working-class voters into the GOP fold actually allowed him to compete and win in more territory than Republicans are accustomed to (think Pennsylvania, Michigan and Wisconsin).",2,0,0,1
"Trump Senior Policy Adviser Stephen Miller on Wolff book: ""The book is best understood as a work of very poorly written fiction",0,1,0,0
"[Inside the manhunt for Facebook murder suspect Steve Stephens] Pennsylvania State Police said they chased him from the McDonald’s for about two miles, finally ramming his car.",0,1,0,0
"By comparing the responses between the two groups, Gervais and Najle could then estimate how many people don’t believe in God.",1,0,1,0
"(Overall, kudos to Gervais and Najle for being forthright about their curious finding.",2,0,0,1
"Presented with this incriminating evidence, Blair confessed to being a Christian, but was quick to aver that he was a private one and thus not liable to be consigned to a mental hospital.",0,1,0,0
"Yet for Christians, the humanity of Holy Week makes our faith overlap with the world around us, just as after years of instructing his followers to stay quiet (at least in Mark) Jesus made his triumphant entrance into Jerusalem.",2,0,0,1
Sean Spicer Under Fire After Falsely Claims Nazis Never Used Poison Gas,0,1,0,0
"Hours later, Spicer apologized, although he made a number of mistakes during his apology, including mispronouncing Syrian President Bashar al-Assad’s name.",0,1,0,0
"Press Secretary Sean Spicer: “You look, we didn’t use chemical weapons in World War II. You know, you had a—you know, someone as despicable as Hitler, who didn’t even sink to the—to using chemical weapons.",0,1,0,0
White House Press Secretary Sean Spicer said Wednesday he “let the president down” comparing Adolf Hitler to Syrian leader Bashar Assad and Mr. Assad’s actions against his people.,1,0,1,0
"Mr. Spicer also downplayed reports of a growing feud between Steve Bannon, the president’s chief strategist, and other members of the Trump administration.",0,1,0,0
"“In that regard, we are hopeful that we can work with Russia and use their influence to achieve areas of stabilization throughout Syria and create the conditions for a political process through Geneva in which we can engage all of the parties on the way forward, and it is through that political process that we believe the Syrian people will lawfully be able to decide the fate of Bashar al-Assad,” he added.",2,0,0,1
"“This idea that we’re going to get rid of ISIS and then we’ll hopefully use Assad and others to come up with a solution, it’s not going to work,” Rubio said.",0,1,0,0
"He is a graduate of Columbia, Harvard and Oxford, served as a Supreme Court law clerk and worked as a lawyer at a prestigious Washington law firm and at the Justice Department.",2,0,0,1
"But neither side harbored any doubts, based on the judge’s opinions, other writings and the president who nominated him, that Judge Gorsuch would be a reliable conservative committed to following the original understanding of those who drafted and ratified the Constitution.",2,0,0,1
Four reasons why Neil Gorsuch may be even better on the Supreme Court than Antonin Scalia,2,0,0,1
Justice Gorsuch—like Justice Scalia before him—rejects the “living document” view.,1,0,1,0
"Here are four reasons why American citizens—especially Evangelical conservatives—should consider Gorsuch’s confirmation a great victory and why he might be better even than Scalia, whose place on the bench he would take.",2,0,0,1
He will defend religious liberty.,2,0,0,1
"This man doesn’t mind supporting Saudi Arabia, the world’s most embarrassing country, in its slaughter of Yemen.",0,1,0,0
"In Lebanon, thank you to Yazan al-Saadi, Syrian-Canadian writer in Beirut; Alia Malek, here in New York, author of The Home That Was Our Country: A Memoir of Syria; Phyllis Bennis, fellow at the Institute for Policy Studies; and Medea Benjamin, co-founder of CodePink.",2,0,0,1
"I also reached out to Sarah Binder, a professor of political science at George Washington University.",1,0,1,0
Here is his floor speech running through the series of events and actions that led the Senate to this point.,1,0,1,0
“Devin Nunes has earned my trust over many years for his integrity and dedication to the critical work that the intelligence community does to keep America safe.,2,0,0,1
"The Susan Rice situation is murky, but one thing that’s crystal clear is that she’s changing her story.",0,1,0,0
"Anchor Don Lemon told viewers “we will not insult your intelligence” by suggesting the Trump team was spied on illegally, “nor will we aid and abet the people who are trying to misinform you, the American people, by creating a diversion.”",2,0,0,1
"Now, conservatives are accusing Rice of actively undermining him — by misusing her authority to sabotage Flynn, who was out of the job in less than a month.",0,1,0,0
"Rand Paul called for Rice to testify under oath, speculating that Obama might have ordered her to unmask Trump officials for unspecified nefarious purposes.",0,1,0,0
"So who’s right — Trump and his allies, or Rice?",1,0,1,0
"In March, for example, former Obama aide Evelyn Farkas said in an MSNBC interview that team Obama attempted to preserve as much information on Trump-Russia ties as they could before leaving office, as they were worried Trump would delete them.",1,0,1,0
The Rice reports sound even more troubling than the Farkas stuff — Obama officials manipulating classified information!,0,1,0,0
"Jeff Merkley (D-OR) headed to the Senate floor to start talking about why he was opposed to the nomination of Neil Gorsuch to the Supreme Court ""for as long as I am able.""",0,1,0,0
"He has enough stamina, and enough material, that he's still going strong more than 13 hours later.",2,0,0,1
McConnell: We Have the Votes to Bust Filibuster on Gorsuch for Supreme Court,1,0,1,0
"Gorsuch now counts 55 supporters in the Senate: the 52 Republicans including McConnell, along with three moderate Democrats from states that President Donald Trump won last November — Joe Manchin of West Virginia, Heidi Heitkamp of North Dakota and Joe Donnelly of Indiana.",2,0,0,1
"Russia’s international news agency RIA Novosti reports the Russian President Vladimir Putin has been alerted to the explosion, which the agency calls an “attack”.",1,0,1,0
He said it was “too early to say” what caused the blast but that it could be “criminal or terrorist”.,1,0,1,0
McConnell said Sunday that Gorsuch “deserves to be confirmed” and “will ultimately be confirmed.”,2,0,0,1
Some argue that Flynn's discussion of sanctions with Sergey Kislyak before Trump's inauguration may have broken an old law that prohibits unauthorized citizens from negotiating with foreign powers in disputes with the United States.,0,1,0,0
"More from the Journal: It wasn’t clear if Mr. Flynn had offered to talk about specific aspects of his time working for Mr. Trump, but the fact that he was seeking immunity suggested Mr. Flynn feels he may be in legal jeopardy following his brief stint as the national security adviser, one official said… Mr. Flynn’s communications with the Russian ambassador, Sergei Kislyak, have been scrutinized by the FBI, which is examining whether Trump campaign personnel colluded with Russian officials who are alleged to have interfered with the presidential election, according to current and former U.S. officials.",0,1,0,0
Senate Minority Leader Chuck Schumer called on House Speaker Paul Ryan to replace Nunes after news broke that the California House Republican visited the White House to view sensitive material related to Obama era surveillance of the Trump transition team one day before he discussed the topic with reporters last week.,0,1,0,0
"Nunes, whose committee is investigating Russia’s interference in the 2016 presidential election, told reporters last Wednesday that he had information that showed Trump and his aides may have been swept up in surveillance of foreign government officials by US spy agencies.",1,0,1,0
"Nunes met the source on White House grounds in order to view sensitive information in a “secure location,” Jack Langer, Nunes’ communications director, said Monday in a statement, CNN first reported.",1,0,1,0
"We’ve got a very, very bold and robust agenda, and the president promised to the American people we’re going to roll on,” he said.",2,0,0,1
Former prosecutor Jeanine Pirro opened her Fox News show Saturday by calling for Paul Ryan (R-Wis.) to step down as Speaker of the House — hours after President Donald Trump posted a tweet telling his followers to tune in.,0,1,0,0
"He had a range of previous convictions for assaults, including grievous bodily harm, possession of offensive weapons and public order offenses dating from November 1983 to December 2003, police said.",0,1,0,0
"""He had something in his hand, it looked like a stick of some sort, and he was challenged by a couple of policemen in yellow jackets,"" Letts told the BBC.",1,0,1,0
"“Let’s have open debates, not threats,” he tweeted.",2,0,0,1
Some even thought MSNBC host Rachel Maddow’s apparent scoop on Trump’s leaked 2005 tax return made him look good.,1,0,1,0
"Donald Trump Jr. seized on the report minutes after the show ended, tweeting, “Thank you Rachel Maddow for proving to your #Trump hating followers how successful @realDonaldTrump is $ that he paid $44mm in taxes!”",0,1,0,0
"The ""Legal Insurrection"" website mocked Maddow with the headline ""Rachel Maddow's career committed suicide live on national TV tonight.""",0,1,0,0
"John McCain to either provide evidence of President Trump’s wiretapping claims or retract the allegation, saying the White House will wait until congressional committees release their own findings.",0,1,0,0
"On NBC’s “Today,” Conway repeatedly tried to move away from the subject, when asked why Trump continues to make unfounded claims and spread conspiracy theories, such as his infamous suggestion that Obama was not born in the United States.",0,1,0,0
Now-fired Preet Bharara boasts of 'absolute independence',0,1,0,0
"Several hours later, it was learned President Donald Trump had reached out through a secretary on his staff to Bharara on Thursday but the two men never spoke.",1,0,1,0
Bharara is charged with overseeing prosecutions against Wall Street and has brought down multiple high profile New York elected officials on corruption charges while in office.,2,0,0,1
And it is no secret that the senator wanted him to remain in his post as U.S. Attorney during the Trump administration.,1,0,1,0
"When Trump announced in November that Bharara would, in fact, be kept on, it was not clear if he did so at Schumer’s behest or as a show of good will to the Minority Leader.",1,0,1,0
"This article has been updated with new details, additional comment from Bharara and Schumer.",1,0,1,0
I see why he was fired (1/2) pic.twitter.com/A4vIpUCX8R CNN’s Jake Tapper reported that Acting Deputy Attorney General Dana Boente had called Bharara Saturday to dismiss him.,1,0,1,0
"Thus the beat in the February report, according to Cohn, is on the back of the recovery from the past eight years under President Barack Obama.",2,0,0,1
"Oh, O.K., makes sense Were you worried that Trump, or someone on Team Trump, wouldn’t address the fact that, while running for president, he claimed the unemployment rate was “phony” and not to be trusted and something like almost half the country was out of work, but now we can apparently believe it?",0,1,0,0
"The question is, if the economy does slow, whether Mr. Trump will accept the legitimacy of weak reports as enthusiastically as he does good ones.",0,1,0,0
"“Trump inherited an economy from Barack Obama with the longest streak of private sector job growth in history,” he said in a statement.",2,0,0,1
"“There’s nothing that I have been told by him that would leave me to believe that anything is different than it was prior,” Mr. Spicer said.",1,0,1,0
"Senator Patrick Leahy, Democrat of Vermont, said he had “never seen anything so outlandish, outrageous or incomprehensible” as Mr. Trump’s claims.",0,1,0,0
And Mr. Spicer provided little evidence to back up Mr. Trump’s claim about Mr. Obama.,0,1,0,0
"If he lied back then, why couldn’t he be lying today?",0,1,0,0
"Secondly, Mr. Obama has ordered surveillance against American citizens.",0,1,0,0
"Mr. French argues, “The notion that Obama would never have an American subject to surveillance is absurd.”",0,1,0,0
"Referencing Trump's description of Obama as a ""bad (or sick) guy,"" Schiff said, ""If there is something bad or sick going on, it is the willingness of the nation's chief executive to make the most outlandish and destructive claims without providing a scintilla of evidence to support them.",0,1,0,0
"The Breitbart story, published Friday, has been circulating among Trump's senior staff, according to a White House official who described it as a useful catalogue of the Obama administration's activities.",1,0,1,0
"Trump leveled the charges in a flurry of tweets shortly after dawn, amid an avalanche of recent revelations about communications between Russian officials and some of his senior aides, including Attorney General Jeff Sessions.",0,1,0,0
Obama wasn't the only target of Trump's Twitter ire on Saturday morning.,0,1,0,0
He then appeared to discount the claim that he was a Trump-campaign “surrogate.”,0,1,0,0
It seems apparent that he was distancing himself from Franken’s insinuation about Trump surrogates colluding with Russians.,0,1,0,0
"But if we consider this matter not as a political dispute but a potential perjury prosecution, then the burden was on Franken, not Sessions, to be clearer.",0,1,0,0
"In those circumstances, it was up to Franken to clarify matters, by asking a follow-up along the lines of, “To be clear, I am asking you whether you’ve had any contact whatsoever with Russian officials during the campaign, whether as a Trump surrogate, in your capacity as a U.S. senator, or under any other circumstances.”",0,1,0,0
Mr. Sessions is the latest administration official to be caught between his words and the truth on Russia.,0,1,0,0
Mr. Sessions’s recusal is only a first necessary step.,0,1,0,0
"Stocky, smart and soft-spoken with a sense of humor, General McMaster, for all his war-making experience, has little background in navigating Washington politics, which could be a challenge for him in his new role with a fractious national security team to corral.",2,0,0,1
"Springare, who was briefly investigated for possible hate crime incitement based on his post, managed to elucidate what Trump only hinted at during a Florida campaign speech – somewhat opaquely.",0,1,0,0
"“For better or worse,” Horowitz said that Trump sometimes speaks “in shorthand hyperbole”.",0,1,0,0
Horowitz said that “the Swedish response” suggests “they are incapable or unwilling to see the reality of what is happening in their own country.”,1,0,1,0
An entire chapter is dedicated to this uranium deal in Peter Schweizer’s “Clinton Cash.”,1,0,1,0
"In the book, Schweizer reveals ties between the Clinton Foundation and investors who stood to gain from a deal that required State Department approval.",2,0,0,1
“Nobody mentions that Hillary received the questions to the debates.”,0,1,0,0
"That’s why, despite his argument that the press treated Flynn unfairly, Trump fired him.",0,1,0,0
"“There’s nothing that would conclude me that anything different has changed with respect to that time period,” Spicer said. .@PressSec Sean Spicer tells @jonkarl nobody on the Trump campaign had contact with Russia before the election https://t.co/LBw3Bd5Htk pic.twitter.com/S9H8fgFA2j But on Tuesday night, multiple news outlets reported that U.S. intelligence and law enforcement agencies had obtained phone records and intercepted calls that showed Trump associates and campaign aides repeatedly talking to Russian officials in the year before the election.",1,0,1,0
Donald Trump: ‘Russian connection non-sense’ is cover for Clinton’s ‘many mistakes’,0,1,0,0
"Among those supposedly communicating with Russian nationals was former Trump campaign chairman Paul Manafort, the report said.",0,1,0,0
"A Trump administration official “stressed that Pence made his comments based on his conversation with Flynn,” The Post report said.",1,0,1,0
"“Either General Flynn lied to the administration or the administration lied to the American people,” said Mr. Engel, New York Democrat.",1,0,1,0
"Flynn is a longtime Trump partisan, and Trump values loyalty greatly.",0,1,0,0
He's been losing so....,0,1,0,0
Donald Trump: John McCain ‘should not be talking about the success or failure of a mission’,1,0,1,0
Only emboldens the enemy!” the president tweeted Thursday.,1,0,1,0
They worried that Mr. Sessions wouldn’t be strong enough in enforcing civil rights laws and that he would be too zealous in following immigration laws.,0,1,0,0
"The veteran Alabama senator had been rejected for a federal judgeship more than three decades ago over accusations of racism as a prosecutor, which was an immediate focus in his latest confirmation fight.",0,1,0,0
"Manchin, who threw Sessions a thumbs-up on Wednesday night as he headed to place his vote, added that he was confident that when he addressed his constituents, “I can explain my relationship with Jeff Sessions and I’m proud to vote for him.”",2,0,0,1
"In a letter at the time of Mr. Sessions’ earlier nomination, King had accused him of “a shabby attempt to intimidate and frighten elderly black voters.”",0,1,0,0
"Jeff Sessions, one of her colleagues and Mr. Trump’s nominee to head the Justice Department.",1,0,1,0
"""Mrs. King's views and words ring true today,"" Warren said.",2,0,0,1
"Congress By ELANA SCHOR and BURGESS EVERETT “Mr. Sessions has used the awesome power of his office to chill the free exercise of the vote by black citizens in the district he now seeks to serve as a federal judge,” King wrote in her letter back then, which Warren read on the Senate floor Tuesday night.",0,1,0,0
"Give them credit for this one: Democrats have fought hard to stop Betsy DeVos, Donald Trump’s blazingly unqualified pick for education secretary.",0,1,0,0
"Tim Kaine cited the moment, during her hearing, when he asked DeVos if she would hold all schools that receive any taxpayer funding equally accountable, be they public, private, or charter, and she dodged the question repeatedly: ""But if you hold public schools accountable while you’re taking some of their money away and you give that money to private schools, and you don’t hold them accountable, you’re not promoting fair competition,"" he said.",0,1,0,0
The last Post-ABC tracking poll had Hillary Clinton up by 3 points.,1,0,1,0
“He should be scared that people aren’t going to stand for this.”,0,1,0,0
"Trump in the interview also touched on voter fraud and how it is ""a really bad situation.""",1,0,1,0
"When O’Reilly fired back, calling Putin a killer, Trump responded, ""There are a lot of killers.",0,1,0,0
"Bill O'Reilly Calls Vladimir Putin A 'Killer', Donald Trump Says Americans Are Just As Bad",0,1,0,0
"Speaking to Bill O’Reilly, Trump shrugged off the anchor’s characterization of Putin as a “killer,” noting that Americans are just as bad.",0,1,0,0
"Trump told Australian leader Malcolm Turnbull that the conversation was “the worst call by far” among talks with various world leaders that day and he ended the scheduled hour-long conversation after just 25 minutes, according to the Washington Post.",0,1,0,0
"Mr. Turnbull, speaking Thursday at a press briefing in Australia’s southern state of Victoria, refused to comment at length on the telephone call, or say whether it had ended sooner than expected.",1,0,1,0
Why Liberals Should Back Neil Gorsuch,2,0,0,1
"I have no doubt that if confirmed, Judge Gorsuch would help to restore confidence in the rule of law.",2,0,0,1
I am hard-pressed to think of one thing President Trump has done right in the last 11 days since his inauguration.,0,1,0,0
"He seeks power, and he cares not for process.",0,1,0,0
"I myself have been deeply concerned with Trump’s authoritarian impulses — including his expressed disrespect for the First Amendment, due process, and private property.",0,1,0,0
"Gorsuch, despite a reportedly mild-mannered temperament, is known for his anti-choice and anti-LGBT stances, pro-employer rulings in labor disputes, anti-regulatory attitudes, dismissal of scientific expertise, and pro-police bias in brutality cases, according to statements from public interest groups issued after the announcement.",0,1,0,0
"Democrats, meanwhile, hailed Ms. Yates as a principled defender of what she thought was right.",2,0,0,1
"The quick firing of Yates, as Trump brings his ""Apprentice"" skills to the White House with the most serious of matters, offers a powerful reminder to Democrats of why these appointments matter so much and the dangers that come from the passive approach we have seen thus far.",0,1,0,0
"Human rights, civil rights, and civil liberties supporters were bolstered by her defiance.",2,0,0,1
It was foolish of President Trump to leave officials such as Acting Attorney General Yates in place.,0,1,0,0
Yates never should have been in the position to undertake her grandstanding in the first place — but at least that particular error has now been corrected.,0,1,0,0
Peña Nieto and other Mexican officials repeatedly condemned the idea of a border wall — one of Trump's signature promises and a rallying cry for his supporters — during last year's U.S. presidential campaign.,1,0,1,0
The Mexican leader is under intense political pressure to figure out how to handle Mr. Trump.,0,1,0,0
"Marco Rubio, R-Fla., is publicly criticizing the same tax reform bill that he voted for.",0,1,0,0
"WASHINGTON \-- President Donald Trump is set to meet with congressional leaders from both parties to discuss his agenda, as he enters his first official week in the White House and works to begin delivering on his ambitious campaign promises.",2,0,0,1
> Sean Spicer is the new Baghdad Bob.,0,1,0,0
"Perdue, 70, served on Trump's agricultural advisory committee during his presidential campaign.",1,0,1,0
"His nomination, which must be confirmed by the Republican-led Senate, will complete Trump's proposed cabinet just two days before he is sworn in as president on Friday.",1,0,1,0
"Obama did the second, but it didn’t go in the way reformers would like — it’s resulted in thousands of rejections.",0,1,0,0
"Manning was known as Bradley Manning at the time of her 2010 arrest, but revealed after being convicted of espionage that she identifies as a woman.",1,0,1,0
WILL WIKILEAKS’ JULIAN ASSANGE MAKE GOOD ON HIS OFFER TO TURN HIMSELF IN AFTER MANNING CLEMENCY?,2,0,0,1
“Chelsea Manning’s treachery put American lives at risk and exposed some of our nation’s most sensitive secrets.,0,1,0,0
"“My hope would be that the president-elect will reach out to someone as consequential and who is such a leader as John Lewis — who has done so much in the course of his life — to try to work this out,” Mr. McDonough said on CNN’s “State of the Union.”",2,0,0,1
"“None of us actually want to be considered to be racially insensitive, and so it’s a very, very important subject, but I think we shouldn’t ignore that people are partisan,” said Mr. Paul.",1,0,1,0
"Mr. Neal added that while other presidents, like Ronald Reagan and Bill Clinton, may have imposed policies that hurt black communities, they were more sensitive to issues of race.",1,0,1,0
"“Try getting a 3- or 4-year-old today to sit for 12 minutes,” he added, referring to the show’s 12-minute tiger act.",1,0,1,0
Juliette Feld says the company will continue operating the Center for Elephant Conservation.,1,0,1,0
"""There isn't any one thing,"" said Kenneth Feld, chairman and CEO of Feld Entertainment.",1,0,1,0
"“We will continue on the path of reform, because that is the path of progress,” he said.",1,0,1,0
Mr. Sessions has vehemently denied making racially insensitive statements or holding racist views.,0,1,0,0
"I have witnessed it,” Mr. Sessions plans to tell the Senate Judiciary Committee, according to his prepared opening remarks.",1,0,1,0
"As Tanner puts it, Sessions “has a record that ought to worry believers in small government and individual liberty.”",0,1,0,0
"Mr. Trump, as he has done many times before, grew heated in the interview as he flatly denied that he had intended to make fun of the Times reporter, Serge F. Kovaleski.",0,1,0,0
"[ Read Meryl Streep’s Golden Globes speech ] The Globes were the last high-profile Hollywood event before Mr. Trump’s inauguration on Jan. 20, a transfer of power that many in the entertainment industry have bemoaned.",1,0,1,0
"Top aide to Donald Trump Kellyanne Conway told ""Fox and Friends"" Monday she's ""concerned that somebody with a platform like Meryl Streep's is inciting people's worst instincts.""",0,1,0,0
"Her comments were met with applause, tears and support by her fellow actors in the audience, and actor Chris Pine called her speech the ""best message of tonight.""",2,0,0,1
"Shortly after the 74th annual Golden Globes wrapped, where ""La La Land"" and ""Moonlight"" were the night’s big winners, Trump told the NY Times he had not seen the show or Streep's remarks.",1,0,1,0
"Conway noted the races of those involved, four African-American suspects and a white victim, and said that if Streep is truly concerned about the disabled community, she should speak out about the incident in Chicago.",0,1,0,0
"“At this point, it looks like he acted alone,” Sheriff Israel said, adding it was too early to speculate on the gunman’s motive for carrying out the shooting.",1,0,1,0
"Santiago’s weapon was logged “for safekeeping,” Tolley said.",1,0,1,0
"Director of National Intelligence James R. Clapper testified to Congress Thursday he’s confident Russia was behind the campaign season hacks of Democratic officials, but Mr. Trump has consistently been skeptical of Russian involvement.",0,1,0,0
"Mr. Trump claimed on New Year’s Eve that he had information no one else had on Russian hacking and that he would reveal it publicly this week, but he has not yet followed through on that statement.",0,1,0,0
"In new tweets early Thursday, Trump backed away from Assange somewhat.",1,0,1,0
"He blamed the ""dishonest media"" for portraying him as agreeing with Assange.",0,1,0,0
Clapper: Trump rhetoric on intel agencies alarming U.S. allies,1,0,1,0
Even Director of National Intelligence James Clapper seemed to implicitly rebuke Trump's ongoing refusal to believe the government's assessment that senior Moscow officials orchestrated a cyber campaign that roiled the Democratic Party in last year's election.,0,1,0,0
"Putin, it seems, is willing simply to wait until Trump moves into the Oval Office.",1,0,1,0
“This will not deter Putin from interfering in French or German elections in 2017.”,0,1,0,0
Mr. Putin condemned the new round of sanctions President Obama imposed against Russia for allegedly using computer hacking to interfere with the U.S. presidential election.,0,1,0,0
"In a statement, the German foreign minister, Frank-Walter Steinmeier, praised Mr. Kerry’s speech as a “passionate and deeply convincing” defense of “the only credible way” to solve the issue: a two-state solution.",2,0,0,1
Obama came into office with one foreign-policy lodestar – Not George Bush – and has stuck with it mulishly no matter how much the facts on the ground demanded flexibility.,0,1,0,0
"And so, when Syrian strongman Bashar al-Assad massacred up to 400,000 people by dropping barrel bombs on civilian neighborhoods, shelling hospitals, and imposing sieges of cities to starve out the inhabitants, the Obama administration stood very, very idly by.",0,1,0,0
The Sun newspaper said on Tuesday that British government officials had urged Harry not to invite the Obamas to his wedding for fear of angering Trump.,1,0,1,0
"“All of us in leadership have to find ways in which we can recreate a common space on the Internet,” Obama said in an interview conducted by Britain’s Prince Harry, broadcast on BBC radio on Wednesday.",2,0,0,1
"""All of us in leadership have to find ways in which we can recreate a common space on the internet,"" said Obama, warning of a ""Balkanization"" of society.",2,0,0,1
"Even reserved seating, which Priebus incorrectly asserted wasn’t an issue until the Obama administration took over, could get reshaped.",0,1,0,0
"“At OMB, he will lead the work he has started to improve the way government does the people’s business,” he added.",2,0,0,1
"“Mick Mulvaney is the absolute right choice,” said House Speaker Paul D. Ryan.",2,0,0,1
